,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,has_company,has_agent,had_previous_cancellation,has_special_requests,has_booking_changes,needs_parking,log_lead_time,total_nights,country_freq,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,market_segment_Other,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,distribution_channel_Undefined,customer_type_Other,customer_type_Transient,customer_type_Transient-Party,season_Ete,season_Hiver,season_Printemps
57193,0.17833141831640742,2016,0.8729236907744009,20,5,2,0,0,0,0,0,3.0,0,-0.13252631888727007,0.8584472543816764,0,1,0,1,0,1,0,0,0.6088491752659192,1.0156655503985081,0.10131812128393612,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
63881,-0.9182375199847058,2017,-1.405258271535414,24,2,3,0,0,0,0,0,3.0,0,-0.13252631888727007,1.2733449779109964,0,0,0,1,0,0,0,0,-1.1808406709987305,-0.5604224810177207,0.07105481161456749,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
11077,-0.6089488450792636,2017,-0.8173403457780424,17,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,0.31428491347136245,0,0,0,1,0,0,0,0,-0.09560358241164106,-0.5604224810177207,0.40728584461478773,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
66455,0.19707618649249484,2017,-0.8173403457780424,20,3,2,0,0,0,0,0,0.0,0,-0.13252631888727007,-0.3528873052692524,0,0,0,1,0,0,0,0,0.6188115789690797,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
111350,-0.9650994404249243,2017,-0.596871123619028,9,1,2,0,0,0,0,0,0.0,0,-0.13252631888727007,1.0023062640476215,0,1,0,1,0,1,0,0,-1.9608571822900212,-0.954444488871778,0.40728584461478773,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
81118,0.39389625234141257,2016,-0.9643198272173853,30,3,1,0,0,0,1,0,0.0,0,1.459146220943376,-0.4571329644474735,0,0,0,1,1,0,0,0,0.7147914877912993,-0.1664004731636635,0.40728584461478773,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
35609,-0.9182375199847058,2017,-0.743850605058371,28,1,2,0,0,0,0,0,3.0,0,-0.13252631888727007,1.0648536595545541,0,1,0,1,0,1,0,0,-1.1808406709987305,-0.954444488871778,0.07105481161456749,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3321,-0.35589447470208363,2015,1.6078210979711154,5,1,1,0,0,0,0,0,0.0,0,-0.13252631888727007,-1.0409086558455114,0,0,0,1,0,0,0,0,0.22556075256286784,-0.5604224810177207,0.40728584461478773,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
61343,-0.5152250041988266,2016,1.681310838690787,8,3,2,1,0,0,0,0,0.0,0,-0.13252631888727007,-0.17358477148271226,0,2,0,1,0,1,0,0,0.043333837348067096,-0.1664004731636635,0.07105481161456749,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
8773,2.43707598353494,2016,1.0933929129334152,12,4,2,0,0,0,0,0,0.0,2,-0.13252631888727007,-0.7490208101464925,0,0,1,0,0,0,1,0,1.2810578545219786,0.621643542544451,0.10131812128393612,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
17683,1.7154024087555746,2015,1.0933929129334152,15,3,2,0,0,0,0,0,0.0,1,-0.13252631888727007,-1.1555788809415546,0,0,1,0,0,0,1,0,1.133532202766793,0.22762153469039376,0.10131812128393612,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16333,-0.5527145405510014,2015,0.5054749871760437,21,2,2,0,0,0,0,0,0.0,0,-0.13252631888727007,1.0648536595545541,0,1,0,0,0,1,0,0,-0.008582633162398557,-0.1664004731636635,0.40728584461478773,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
