id,adr_eur,is_canceled
20947,85.0,0
98593,65.0,0
60401,99.0,1
31016,72.0,0
40962,75.0,0
67966,110.0,1
35708,113.0,0
78285,67.0,0
76958,170.0,1
63693,95.0,1
107406,88.4,0
20337,0.0,0
97376,137.52,0
76833,74.0,1
51221,60.0,1
62476,75.0,1
29540,62.0,0
61785,138.76,1
28588,57.0,0
13491,185.75,1
40742,81.0,0
102537,65.0,0
72161,139.5,1
11866,120.0,1
105713,64.37,0
119132,140.0,0
39083,260.0,0
85034,90.0,0
74050,62.0,1
5381,72.0,1
99358,120.0,0
46540,107.0,0
29983,0.0,0
72015,107.1,1
20653,59.0,0
63848,78.0,1
111270,230.0,0
46204,76.5,0
57163,143.0,1
45406,85.67,0
8857,49.0,0
68805,160.0,1
9803,42.0,1
68469,162.0,1
45749,70.0,0
41439,68.8,0
30142,64.8,0
43171,62.0,0
100387,123.3,0
82803,75.0,1
9635,55.8,1
91508,101.7,0
36539,80.0,0
27483,168.63,0
15725,80.0,1
103765,70.55,0
8350,139.0,1
27481,100.8,0
19109,49.4,0
5156,62.05,0
48986,80.0,1
106903,86.4,0
115281,89.1,0
52884,120.0,1
43545,62.0,1
101009,65.83,0
78221,65.0,0
55684,115.0,1
47802,114.0,1
91896,96.3,0
89840,165.0,0
31309,30.6,0
73505,116.1,1
65081,100.3,1
15816,109.65,0
119381,99.0,0
78696,66.0,0
24276,38.83,0
24235,48.0,0
43344,101.5,1
106310,75.0,0
12725,311.0,1
118116,112.67,0
13258,202.0,1
34489,82.0,0
58049,90.0,1
65718,117.0,1
10624,30.0,1
50356,99.85,1
70930,255.0,1
63385,75.0,1
35257,138.67,0
66313,108.0,1
6633,141.67,0
41290,109.0,1
62574,114.67,1
104944,120.0,0
64908,134.3,1
19337,25.92,0
63732,84.6,1
100614,114.0,0
45748,84.0,1
34268,38.55,0
116219,106.24,0
49261,78.0,0
66024,254.0,1
79738,129.65,0
40022,222.86,0
69172,149.33,1
119371,86.85,0
14191,66.0,0
106844,99.88,0
109792,136.5,0
109195,126.0,0
32750,29.6,0
109519,204.0,0
31144,39.0,0
77294,76.67,0
106007,108.0,0
93184,137.7,0
72701,140.0,1
71078,95.0,1
23042,27.0,0
44585,72.75,0
116327,112.67,0
68438,120.6,1
102624,85.0,0
101731,113.5,0
96855,116.25,0
113156,155.57,0
37379,0.0,0
1336,129.27,1
28854,71.71,0
92714,85.5,0
64829,144.0,1
96354,174.6,0
14001,69.3,0
21939,30.0,0
48421,101.0,1
114752,122.4,0
84091,81.0,0
33107,0.0,0
78009,170.0,0
64143,95.0,1
48003,71.1,1
117741,107.1,0
45839,70.0,1
33258,73.2,0
62440,75.0,1
46239,81.3,0
45525,76.5,1
54940,113.9,1
101921,88.0,0
52354,62.8,1
58989,62.0,1
49393,106.2,1
94801,114.3,0
45220,146.0,1
21348,42.0,0
20331,38.1,0
68744,90.0,1
33747,74.86,0
114185,117.0,0
52500,130.0,1
113231,126.0,0
94018,118.8,0
38137,159.0,0
65263,89.1,1
5900,56.5,0
93917,132.96,0
108345,68.07,0
11914,72.0,1
113833,126.0,0
70850,105.0,1
28132,125.0,0
32997,50.0,0
15593,125.34,0
55412,96.62,1
60257,100.0,1
3396,68.0,1
27422,203.8,0
34832,86.5,0
52382,108.59,0
106208,80.0,0
34967,162.0,0
40568,94.5,1
68362,147.6,1
109962,89.1,0
91804,95.0,0
66967,100.8,1
43795,170.0,0
113410,239.0,0
55784,139.0,1
99175,151.2,0
76925,170.0,1
39025,215.0,0
91823,95.0,0
3656,0.0,1
66382,135.0,1
75232,62.0,1
117672,166.5,0
119320,156.0,0
89190,130.0,0
99163,80.75,0
15250,34.0,1
79108,0.0,0
9266,43.2,1
109894,166.5,0
45498,62.0,1
28813,65.86,0
60213,100.0,1
114313,105.3,0
118646,139.2,0
32638,94.0,0
20627,61.2,0
3735,59.18,0
45087,80.0,1
10833,96.0,1
93117,84.58,0
29611,41.57,0
14278,87.5,0
40657,0.0,0
49644,82.79,0
11300,82.8,1
62353,109.2,1
97912,143.1,0
91686,80.2,0
51277,159.12,1
2708,36.0,1
106680,76.5,0
98182,117.81,0
87011,105.3,0
2848,50.5,0
27874,99.32,0
105451,107.0,0
9994,51.3,1
103577,65.0,0
1477,122.6,0
90137,80.75,0
41325,109.0,0
77563,80.75,0
1005,133.0,1
55601,214.76,1
53858,156.95,1
29700,38.0,0
28642,50.0,0
34085,97.0,0
46627,89.0,0
22410,58.0,0
85662,165.6,0
84389,71.53,0
65416,100.0,1
1868,85.0,0
109091,84.01,0
114024,106.4,0
83351,65.7,0
25978,186.5,0
40161,55.96,0
85482,103.0,0
88949,119.85,0
56287,210.6,1
84995,61.5,0
75410,62.0,1
19884,4.0,0
93654,84.58,0
42099,80.0,0
42760,54.75,0
35116,49.95,0
108414,100.3,0
174,91.5,0
51896,110.0,0
93372,128.7,0
29880,70.0,0
11360,90.0,1
113955,139.0,0
61705,156.6,1
97388,159.0,0
95026,97.01,0
47266,79.0,1
107378,168.0,0
50657,114.3,1
109979,110.5,0
115002,126.0,0
63883,118.0,1
119157,170.0,0
108749,101.78,0
