,is_canceled
57193,1
63881,1
11077,1
66455,1
111350,0
81118,1
35609,0
3321,1
61343,1
8773,0
17683,0
16333,0
3648,0
12751,1
23404,0
19118,0
40428,1
46742,1
97832,0
115869,0
114406,0
76198,0
86776,0
26377,0
81972,1
58501,1
113460,0
35882,0
807,1
15527,0
27883,0
13142,1
74900,1
2657,1
99740,0
90277,0
28447,0
48879,1
67748,1
105197,0
74761,0
11967,1
37133,0
78921,0
82875,1
112923,0
70660,0
31799,0
60324,1
5739,1
76293,1
66641,1
15916,0
99219,0
21775,0
28863,0
53851,1
3697,0
34275,0
27554,0
72416,1
113667,0
61591,1
79532,1
30270,0
69760,1
64336,1
111884,0
109128,0
36816,0
45270,0
26702,1
16934,0
68258,1
532,0
64098,1
20578,0
73718,1
94425,0
18688,0
82229,1
16524,0
70332,1
51677,1
97341,0
27421,0
57561,1
99606,0
88167,0
117964,0
88867,0
33794,0
39325,0
37249,0
57752,1
16422,0
36918,0
77738,0
86856,0
48244,1
26743,0
89022,0
49851,1
50426,1
57959,1
100378,0
21513,0
63105,1
109854,0
117380,0
19516,0
18238,0
83725,0
51636,1
57880,1
79769,0
81304,0
58139,1
6842,0
45984,1
15030,0
53125,1
97565,0
12239,1
97969,0
82950,0
14527,0
61103,1
74494,1
12560,1
90672,0
68988,1
103572,0
41078,0
47369,1
65613,1
95528,0
63099,1
104755,0
60117,1
63801,1
28948,0
28793,0
5024,1
7186,1
24303,0
133,0
16095,0
101076,0
90600,0
37229,0
66725,1
83283,0
111306,0
106382,0
67238,1
88316,0
58500,1
92279,0
48031,0
26095,0
49269,1
90215,0
36462,0
67479,1
88947,0
95715,0
68196,1
85459,0
6564,1
29680,0
8205,1
17197,0
68700,1
117113,0
24325,0
55055,1
1066,1
10219,1
9114,1
42976,0
113931,0
65457,1
108688,0
23030,0
54554,1
71851,1
41373,0
77295,0
87157,0
45173,1
99731,0
1436,1
57304,1
22810,0
1907,0
66437,1
116377,0
65855,1
7628,1
26136,0
81978,1
23279,0
117473,0
36870,0
72623,1
97379,0
54092,1
39569,0
38502,0
98652,0
112369,0
85187,0
78221,0
82480,0
29470,0
41793,0
67581,1
91685,0
36068,0
71529,1
79666,0
73167,1
27104,0
1765,0
79464,1
102189,0
72727,1
30929,0
76139,1
17348,0
94804,0
64226,1
14161,0
99770,0
52723,1
50046,1
3054,1
96462,0
66915,1
4932,1
17087,0
79364,1
27799,0
92855,0
4937,1
105217,0
78242,1
43301,0
50102,1
51772,1
80995,1
41010,1
16963,0
25842,0
42809,0
78652,0
24583,0
67548,1
63962,1
105030,0
81705,1
73803,1
113277,0
7995,1
109834,0
25168,0
118922,0
94594,0
61505,1
10031,1
86553,0
96436,0
27793,0
61028,1
108764,0
73384,1
33085,0
87974,0
36980,0
80514,1
46705,1
107861,0
94558,0
22081,0
112639,0
25563,0
42707,0
12203,1
107797,0
13687,1
103150,0
11503,1
80054,0
39878,0
50451,1
904,0
70364,1
43238,0
50436,1
88395,0
13248,1
93793,0
52420,1
105892,0
44039,1
63778,1
100652,0
105785,0
98886,0
52676,1
44616,0
24100,0
77018,0
114292,0
102091,0
10400,1
114671,0
57759,1
33740,0
100015,0
5081,0
47856,1
7426,1
104687,0
44449,0
49147,0
45489,1
83783,0
34055,0
2434,0
119159,0
70505,1
44769,0
115811,0
103292,0
117587,0
48609,1
38155,0
108718,0
41915,1
52367,1
11360,1
83546,0
60588,1
66583,1
115992,0
47586,1
27803,0
53343,1
114200,0
51619,0
114359,0
82537,0
86846,0
48316,1
37350,0
50812,1
77763,1
31381,0
26123,0
92807,0
100720,0
24902,0
114691,0
7562,0
89910,0
49566,1
36593,0
13243,1
64315,1
14223,0
54518,1
57899,1
23186,0
116995,0
55887,1
59773,1
27059,0
96877,0
40134,1
27775,0
95408,0
73078,1
94304,0
117967,0
73458,1
3649,0
119097,0
33827,0
44024,0
117329,0
72695,1
73855,1
76929,1
65193,1
7615,1
116296,0
77647,0
47949,1
67102,1
80616,0
27943,0
54799,1
16943,0
54197,1
108522,0
74014,1
67864,1
105947,0
40632,1
6172,1
32083,0
12855,1
112207,0
98563,0
77262,1
5792,1
23283,0
60486,1
101752,0
7098,1
111588,0
71925,1
31502,0
25856,0
114015,0
113660,0
82644,0
60235,1
103794,0
79605,0
54171,1
97313,0
240,0
95532,0
64022,1
48631,1
50844,1
45277,0
106610,0
43113,1
55245,1
95660,0
59341,1
105352,0
98400,0
90272,0
106962,0
54264,1
117053,0
53579,1
77156,0
19355,1
30309,0
118847,0
26669,0
76769,1
93103,0
83535,0
96002,0
95611,0
64678,1
113942,0
28237,0
72547,1
63040,1
26038,0
46716,1
15590,0
56730,1
65016,1
106607,0
36712,0
72850,1
10923,1
113696,0
45070,0
4134,0
26949,0
116018,0
50757,1
47022,1
53236,1
40379,0
18824,1
21586,0
19432,0
17143,0
37407,0
23036,0
32111,0
36146,0
104258,0
92851,0
40356,0
83530,0
19953,0
97592,0
42527,0
93144,0
49661,1
81983,1
106571,0
91974,0
17622,0
74561,1
78637,1
77232,1
68630,1
56894,1
95016,0
90624,0
109565,0
1809,0
33323,0
45869,0
17854,0
83110,0
55066,1
4572,0
114356,0
6603,1
45280,0
71295,1
116184,0
111062,0
11166,1
83732,0
43589,0
66698,1
83880,0
44382,0
12869,1
38026,0
37318,0
89900,0
16203,0
106505,0
70231,1
57863,1
49934,1
27419,0
86220,0
101330,0
89973,0
61741,1
70679,1
104683,0
109962,0
92480,0
7680,1
60005,1
49315,1
76759,0
98436,0
21068,0
109314,0
61945,1
1719,0
81902,1
33716,0
116712,0
37444,0
73634,1
114060,0
49240,1
100448,0
112027,0
45131,0
107498,0
8762,0
8351,1
115779,0
25521,0
84969,0
14561,0
84832,0
16633,0
48111,1
34477,0
51306,1
98512,0
98531,0
79821,0
31517,0
629,0
6648,0
14286,0
66940,1
117649,0
2258,1
57695,1
48103,1
102872,0
118760,0
8003,1
15583,0
36121,0
10551,1
61598,1
21688,0
36139,0
34110,0
24832,0
26655,0
